"gsm","arm","celltype","topic_0","x","y"
"GSM5050574","Non-diabetic","endothelial",0.004506632,-5.0316033,-10.576243
"GSM5050573","DFU-healer","pericyte_smc",0.06783423,-0.9600703,3.8841414
"GSM5050573","DFU-healer","keratinocyte",0.24839492,-2.2985725,11.450566
"GSM5050574","Non-diabetic","keratinocyte",0.0097743245,-0.89116156,11.871983
"GSM5050557","DFU-nonhealer","fibroblast",0.006543213,-0.99555093,-1.246583
"GSM5050533","DFU-nonhealer","melanocyte",0.01930848,-3.2200532,4.2603297
"GSM5050534","Non-diabetic","keratinocyte",0.008404945,3.5554776,4.430855
"GSM5050523","DFU-healer","pericyte_smc",0.023309682,-6.9603643,3.8882072
"GSM5050557","DFU-nonhealer","pericyte_smc",0.0077060093,-10.051246,6.7680917
"GSM5050558","DFU-nonhealer","pericyte_smc",0.010462979,-10.310122,4.0830483
"GSM5050563","DFU-nonhealer","pericyte_smc",0.011062226,-4.8803883,3.216266
"GSM5050555","Non-diabetic","pericyte_smc",0.02451626,-4.919258,4.8251724
"GSM5050568","Non-diabetic","pericyte_smc",0.015480314,-5.290618,2.0758436
"GSM5050563","DFU-nonhealer","fibroblast",0.012625139,1.3733872,-3.5117528
"GSM5050574","Non-diabetic","pericyte_smc",0.007922821,-4.845796,0.9126508
"GSM5050533","DFU-nonhealer","keratinocyte",0.014010268,-1.4351761,11.893906
"GSM5050573","DFU-healer","keratinocyte",0.011736074,6.0166306,9.530451
"GSM5050532","DFU-healer","myeloid",0.00525518,11.390073,-3.170574
"GSM5050569","DFU-healer","fibroblast",0.17897922,-1.1917061,4.523067
"GSM5050555","Non-diabetic","myeloid",0.006709094,10.764744,-2.7015696
"GSM5050540","Non-diabetic","t_cell",0.015096464,16.748482,5.6729546
"GSM5050523","DFU-healer","pericyte_smc",0.015289114,-4.362744,4.678005
"GSM5050557","DFU-nonhealer","pericyte_smc",0.007885545,-11.796231,4.259431
"GSM5050552","Non-diabetic","keratinocyte",0.0043572304,3.34427,16.412529
"GSM5050547","DFU-healer","myeloid",0.007025541,13.31116,-3.4522183
"GSM5050566","DFU-healer","keratinocyte",0.016394546,-1.803289,11.340512
"GSM5050558","DFU-nonhealer","myeloid",0.0070693637,14.635214,6.864247
"GSM5050539","DFU-healer","fibroblast",0.14052305,5.6939874,-0.58250356
"GSM5050547","DFU-healer","pericyte_smc",0.019128384,-5.1153393,4.192241
"GSM5050527","DFU-healer","pericyte_smc",0.089759745,-3.5996196,5.7080016
"GSM5050523","DFU-healer","fibroblast",0.019344496,6.387621,-2.735049
"GSM5050531","DFU-healer","fibroblast",0.012518143,7.0859284,-3.8196325
"GSM5050567","Non-diabetic","endothelial",0.006642201,-0.56002957,-9.57062
"GSM5050573","DFU-healer","t_cell",0.006712762,13.9485235,8.68061
"GSM5050574","Non-diabetic","pericyte_smc",0.019755095,4.407776,2.8656344
"GSM5050530","DFU-nonhealer","pericyte_smc",0.016973019,-4.3365874,2.6161377
"GSM5050547","DFU-healer","keratinocyte",0.0040035583,1.2711167,16.300562
"GSM5050573","DFU-healer","fibroblast",0.81681657,7.00649,2.2496746
"GSM5050531","DFU-healer","fibroblast",0.50359625,6.9365277,0.69328004
"GSM5050552","Non-diabetic","mast",0.0061630625,11.898596,-2.2354612
"GSM5050573","DFU-healer","pericyte_smc",0.019835658,-6.0303016,2.8473752
"GSM5050534","Non-diabetic","keratinocyte",0.01839366,2.2608879,11.917996
"GSM5050532","DFU-healer","fibroblast",0.025700718,1.3589376,-0.8179048
"GSM5050569","DFU-healer","pericyte_smc",0.0070783887,-8.864147,8.495422
"GSM5050523","DFU-healer","pericyte_smc",0.014069605,-3.0732596,2.8974323
"GSM5050547","DFU-healer","pericyte_smc",0.045143303,-3.3081343,2.4660506
"GSM5050568","Non-diabetic","fibroblast",0.012416087,2.4288476,3.1545548
"GSM5050530","DFU-nonhealer","endothelial",0.014582039,-0.66594696,-10.661263
"GSM5050563","DFU-nonhealer","endothelial",0.023970094,0.21953812,-10.890788
"GSM5050534","Non-diabetic","pericyte_smc",0.016135992,-6.7141123,4.4481263
"GSM5050557","DFU-nonhealer","fibroblast",0.0148637295,2.1527472,2.5126538
"GSM5050574","Non-diabetic","fibroblast",0.008247124,-0.87100875,-1.2319102
"GSM5050547","DFU-healer","fibroblast",0.8254859,7.1191382,2.1570618
"GSM5050548","Non-diabetic","fibroblast",0.011450484,-0.73614734,-1.0728563
"GSM5050573","DFU-healer","pericyte_smc",0.013384449,-4.5755353,1.1422417
"GSM5050555","Non-diabetic","pericyte_smc",0.010243521,-7.4821134,4.728292
