"celltype","gene","cells","mean_log1p_cp10k","detected_fraction","pseudobulk_log1p_cp10k","scaled"
"Keratin.","PDGFRA",10821,0.0160836846650749,0.0180205156639867,0.0203294137355414,0.00624829303733705
"Keratin.","KRT14",10821,3.99886542537247,0.889381757693374,5.64694484518294,1
"Keratin.","KRT10",10821,3.01145490531231,0.890860364106829,4.82377997868011,1
"Keratin.","LYZ",10821,0.00875987069433255,0.0125681545143702,0.0233191927269056,0.00135687001637247
"Keratin.","CD3D",10821,0.00226404110607502,0.00304962572775159,0.00248414803839126,0.000830224365004988
"Keratin.","MS4A1",10821,0.000152147474946123,0.000184825801681915,0.000426292454286379,0.000115896259158656
"Keratin.","PECAM1",10821,0.0188865831715564,0.0231032252102393,0.0329231281872269,0.00168740743209426
"Keratin.","CCL21",10821,0.0267616841580196,0.0414009795767489,0.0344347565330484,0.00171822097208458
"Keratin.","RGS5",10821,0.061875773335916,0.0500877922557989,0.160749529647211,0.0138270690626341
"Keratin.","TPSAB1",10821,0.00730414057987065,0.0093337029849367,0.00785714324967153,0.000589589344249946
"Keratin.","PMEL",10821,0.015282765341331,0.0264300896405138,0.0215820370400645,0.00998531511169634
"Keratin.","DCD",10821,0.332904040607956,0.278255244432123,0.366437264497871,0.125535420410026
"Keratin.","TIMP1",10821,0.34313883370547,0.299048147121338,0.642390079139246,0
"Keratin.","CHI3L1",10821,0.0570663428212823,0.0705110433416505,0.15759798222448,0.0911947353012363
"Keratin.","FN1",10821,0.098192077696523,0.101931429627576,0.177550753441676,0
"Keratin.","DCN",10821,0.667095177316489,0.494871084003327,1.13426637631581,0.129434040166096
"Keratin.","LUM",10821,0.255693489036017,0.205895943073653,0.485599519524641,0.0413187697021515
"Lymph EC","COL1A1",1420,0.959211652343958,0.476760563380282,1.83756829849015,0.157999697849617
"Lymph EC","PDGFRA",1420,0.0560370535918431,0.0464788732394366,0.0934943352944282,0.0486354349092259
"Lymph EC","KRT14",1420,0.575421300026894,0.384507042253521,1.42572427078805,0.0635062171658586
"Lymph EC","KRT10",1420,0.924020018510721,0.623239436619718,1.4933839164258,0.133646428326077
"Lymph EC","LYZ",1420,0.023943946852678,0.0169014084507042,0.0715671072191519,0.00719146555577203
"Lymph EC","CD3D",1420,0.00650486491165987,0.00492957746478873,0.00820956844247185,0.00401370818170308
"Lymph EC","MS4A1",1420,0.00113609068873226,0.000704225352112676,0.0073007153424473,0.000865401551591151
"Lymph EC","PECAM1",1420,0.827562806158689,0.473943661971831,1.3951024806317,0.374115138842426
"Lymph EC","CCL21",1420,2.81300947585455,0.734507042253521,4.83640193367335,1
"Lymph EC","RGS5",1420,0.19280107371702,0.103521126760563,0.538543051339181,0.0796662028507476
"Lymph EC","TPSAB1",1420,0.0076723432531485,0.00563380281690141,0.0073007153424473,0.000699578838970935
"Lymph EC","PMEL",1420,0.00794463705516748,0.00915492957746479,0.0154508090073013,0.00480314760071664
"Lymph EC","DCD",1420,0.355101843822333,0.229577464788732,0.510353662520276,0.134499298458015
"Lymph EC","TIMP1",1420,2.12178391343273,0.852112676056338,3.44373006957382,0.793863731719965
"Lymph EC","CHI3L1",1420,0.032385113355214,0.021830985915493,0.14787814645307,0.0421748741743725
"Lymph EC","FN1",1420,1.32336685446154,0.654929577464789,2.07949703397733,0.660821404944912
"Lymph EC","DCN",1420,0.908196193004779,0.361971830985916,2.39865445606787,0.19476942990749
"Lymph EC","LUM",1420,0.74494647887933,0.347183098591549,1.57265424624974,0.201525948418343
"Mast","COL1A1",1226,0.406073551280302,0.17536704730832,1.78220249674112,0.0161016158561495
"Mast","PDGFRA",1226,0.0428085180489476,0.0277324632952692,0.145666419539515,0.0346010786615263
"Mast","KRT14",1226,0.446012148081419,0.184339314845024,2.50073720357973,0.0281059413612864
"Mast","KRT10",1226,1.16494599325319,0.528548123980424,2.14442348072233,0.233638567025538
"Mast","LYZ",1226,0.0782756101080154,0.0391517128874388,0.419739065569438,0.0280688160624422
"Mast","CD3D",1226,0.0212885007656185,0.0106035889070147,0.0595516006886127,0.0151114259013253
"Mast","MS4A1",1226,0.00399722859869117,0.00163132137030995,0.013543543323897,0.00304483424226626
"Mast","PECAM1",1226,0.0467719771486999,0.0244698205546493,0.202931535519755,0.0145297462114256
"Mast","CCL21",1226,0.0313716825175823,0.0179445350734095,0.0973694618156984,0.00336993241620485
"Mast","RGS5",1226,0.127683737768707,0.0530179445350734,0.704421111145851,0.0469202860497405
"Mast","TPSAB1",1226,3.35294715711188,0.838499184339315,3.88849535299959,1
"Mast","PMEL",1226,0.0015808039429587,0.000815660685154976,0.00340312094851184,0.000309024860784712
"Mast","DCD",1226,0.348875224177541,0.156606851549755,0.820452057400934,0.131984875809607
"Mast","TIMP1",1226,1.40939297836809,0.596247960848287,2.17043635575509,0.475901855795506
"Mast","CHI3L1",1226,0.0143016232104352,0.00897226753670473,0.163192884079692,0.00625890909634574
"Mast","FN1",1226,0.179563414765268,0.0938009787928222,0.690846584499626,0.0438891840607384
"Mast","DCN",1226,0.505580779636968,0.17862969004894,2.39867530084954,0.0856656383984285
"Mast","LUM",1226,0.289820124369587,0.117455138662316,1.46647289184567,0.0524936262270315
"Melano.","COL1A1",1330,0.823699466165777,0.386466165413534,2.17620404478383,0.123236373340875
"Melano.","PDGFRA",1330,0.0487507961616781,0.0368421052631579,0.123373946611293,0.0409053326499246
"Melano.","KRT14",1330,0.849052624366701,0.372932330827068,3.56201056031321,0.138358916567527
"Melano.","KRT10",1330,1.05395786455807,0.590977443609023,1.96539525959026,0.187574873103209
"Melano.","LYZ",1330,0.00522872315780679,0.00300751879699248,0.010590269780722,0
"Melano.","CD3D",1330,0.00115807184289795,0.00075187969924812,0.0017728517641323,0
"Melano.","MS4A1",1330,0,0,0,0
"Melano.","PECAM1",1330,0.0220613430839049,0.018796992481203,0.0801023401978481,0.00314951129804066
"Melano.","CCL21",1330,0.0431520583896111,0.0323308270676692,0.0833726516055984,0.0075907108473959
