"gsm","arm","celltype","cells","fraction"
"GSM5050567","Healthy","myeloid",26,0.0329531051964512
"GSM5050567","Healthy","pericyte_smc",187,0.237008871989861
"GSM5050567","Healthy","sweat_gland",79,0.100126742712294
"GSM5050567","Healthy","t_cell",27,0.0342205323193916
"GSM5050568","Healthy","b_plasma",1,0.000692041522491349
"GSM5050568","Healthy","endothelial",263,0.182006920415225
"GSM5050568","Healthy","fibroblast",425,0.294117647058824
"GSM5050568","Healthy","keratinocyte",152,0.105190311418685
"GSM5050568","Healthy","lymphatic_ec",25,0.0173010380622837
"GSM5050568","Healthy","mast",21,0.0145328719723183
"GSM5050568","Healthy","melanocyte",57,0.0394463667820069
"GSM5050568","Healthy","myeloid",36,0.0249134948096886
"GSM5050568","Healthy","pericyte_smc",309,0.213840830449827
"GSM5050568","Healthy","sweat_gland",118,0.0816608996539792
"GSM5050568","Healthy","t_cell",38,0.0262975778546713
"GSM5050569","Healer","b_plasma",17,0.0050385299347955
"GSM5050569","Healer","endothelial",420,0.12448132780083
"GSM5050569","Healer","fibroblast",1821,0.539715471250741
"GSM5050569","Healer","keratinocyte",284,0.0841730883224659
"GSM5050569","Healer","lymphatic_ec",44,0.013040901007706
"GSM5050569","Healer","mast",2,0.000592768227622999
"GSM5050569","Healer","melanocyte",13,0.0038529934795495
"GSM5050569","Healer","myeloid",167,0.0494961470065204
"GSM5050569","Healer","pericyte_smc",509,0.150859513930053
"GSM5050569","Healer","sweat_gland",1,0.0002963841138115
"GSM5050569","Healer","t_cell",96,0.028452874925904
"GSM5050573","Healer","b_plasma",58,0.0198087431693989
"GSM5050573","Healer","endothelial",180,0.0614754098360656
"GSM5050573","Healer","fibroblast",363,0.123975409836066
"GSM5050573","Healer","keratinocyte",667,0.227800546448087
"GSM5050573","Healer","lymphatic_ec",74,0.0252732240437158
"GSM5050573","Healer","mast",12,0.00409836065573771
"GSM5050573","Healer","melanocyte",19,0.00648907103825137
"GSM5050573","Healer","myeloid",69,0.0235655737704918
"GSM5050573","Healer","pericyte_smc",1111,0.379439890710383
"GSM5050573","Healer","sweat_gland",18,0.00614754098360656
"GSM5050573","Healer","t_cell",357,0.121926229508197
"GSM5050574","Healthy","b_plasma",2,0.000677736360555744
"GSM5050574","Healthy","endothelial",781,0.264656048797018
"GSM5050574","Healthy","fibroblast",1152,0.390376143680108
"GSM5050574","Healthy","keratinocyte",112,0.0379532361911217
"GSM5050574","Healthy","lymphatic_ec",88,0.0298203998644527
"GSM5050574","Healthy","mast",53,0.0179600135547272
"GSM5050574","Healthy","melanocyte",70,0.023720772619451
"GSM5050574","Healthy","myeloid",38,0.0128769908505591
"GSM5050574","Healthy","pericyte_smc",453,0.153507285665876
"GSM5050574","Healthy","sweat_gland",85,0.0288037953236191
"GSM5050574","Healthy","t_cell",117,0.039647577092511
