celltype,gene,cells,mean_log1p_cp10k,detected_fraction,pseudobulk_log1p_cp10k
myeloid,PECAM1,5691,0.42430179668324075,0.3589878755930416,0.625314825112416
myeloid,CCL21,5691,0.023729318502161898,0.023018801616587595,0.04137296134594691
myeloid,RGS5,5691,0.03437976805368256,0.028114566859954313,0.11292153038753651
myeloid,TPSAB1,5691,0.011574243096290956,0.010015814443858724,0.016972317992799645
myeloid,PMEL,5691,0.0032525459787643624,0.004392901071867862,0.0068783727635268735
myeloid,DCD,5691,0.1250182698102525,0.08346512036548936,0.21726811818012967
myeloid,TIMP1,5691,1.8720058578631327,0.8119838341240555,2.6226095586151166
myeloid,CHI3L1,5691,0.04281785686990368,0.03198031980319803,0.2894684674271587
myeloid,FN1,5691,0.17871551464781088,0.12141978562642769,0.5547811532637973
myeloid,DCN,5691,0.286272568498519,0.20839922684941134,0.8409523223958435
myeloid,LUM,5691,0.18002286663746403,0.1300298717272887,0.5284388815777175
pericyte_smc,COL1A1,18780,2.0957410013992592,0.814430244941427,3.823398264890069
pericyte_smc,PDGFRA,18780,0.010194154353316743,0.012460063897763577,0.024537728907463394
pericyte_smc,KRT14,18780,0.5136115249405505,0.3777422790202343,1.0484313623455352
pericyte_smc,KRT10,18780,1.0297888183452186,0.6996272630457934,1.2857745957570053
pericyte_smc,LYZ,18780,0.012378377289409792,0.01293929712460064,0.020559625034380663
pericyte_smc,CD3D,18780,0.0017608581029671787,0.002129925452609159,0.00391837379338054
pericyte_smc,MS4A1,18780,0.0003088501854791784,0.0005324813631522897,0.0009275476680297469
pericyte_smc,PECAM1,18780,0.015222607173692353,0.018157614483493078,0.029401567541866548
pericyte_smc,CCL21,18780,0.07427784330805559,0.06624068157614484,0.13769012868687663
pericyte_smc,RGS5,18780,2.0229432993184444,0.724174653887114,2.8323469209894174
pericyte_smc,TPSAB1,18780,0.007499731840049088,0.007561235356762513,0.010297323663474649
pericyte_smc,PMEL,18780,0.0062429877867139025,0.009904153354632588,0.014034867234890742
pericyte_smc,DCD,18780,0.2306961837721888,0.15431309904153354,0.3332762530677641
pericyte_smc,TIMP1,18780,1.9141817072497984,0.8556443024494143,3.1380205522080336
pericyte_smc,CHI3L1,18780,0.023934859083329842,0.023375931842385518,0.07922447189354878
pericyte_smc,FN1,18780,1.2351824580222392,0.6349840255591054,2.345846142257784
pericyte_smc,DCN,18780,0.7877949091619365,0.4520766773162939,1.5039451519642484
pericyte_smc,LUM,18780,0.769635002606795,0.43013844515441957,1.4597176034809987
sweat_gland,COL1A1,2870,1.1068249276113422,0.4777003484320557,1.918479071576427
sweat_gland,PDGFRA,2870,0.1859848260383332,0.11951219512195121,0.3126821466987578
sweat_gland,KRT14,2870,1.2985513684807033,0.48292682926829267,3.4676164939929643
sweat_gland,KRT10,2870,1.4308250473359627,0.7156794425087109,1.8458249117011207
sweat_gland,LYZ,2870,0.01703738714308576,0.007317073170731708,0.03368023409345345
sweat_gland,CD3D,2870,0.009762648040017176,0.004181184668989547,0.011917545266818895
sweat_gland,MS4A1,2870,0.0006813839930198781,0.0003484320557491289,0.0005707343456818028
sweat_gland,PECAM1,2870,0.050261483880031634,0.025087108013937282,0.07583431391499544
sweat_gland,CCL21,2870,0.03958303751169158,0.026829268292682926,0.0667971248592319
sweat_gland,RGS5,2870,0.3400502271943993,0.12961672473867597,0.8236533022710959
sweat_gland,TPSAB1,2870,0.009676383801862476,0.005923344947735192,0.010223709738508802
sweat_gland,PMEL,2870,0.008008946737279284,0.006968641114982578,0.011353252150559583
sweat_gland,DCD,2870,2.4983945294076455,0.8522648083623693,6.993105798903042
sweat_gland,TIMP1,2870,1.096603311517167,0.5320557491289198,1.4014664384747337
sweat_gland,CHI3L1,2870,0.021805542746054625,0.021254355400696864,0.15662460165938952
sweat_gland,FN1,2870,0.4460571618875327,0.24668989547038328,0.6889626955336227
sweat_gland,DCN,2870,1.6467038328025039,0.48745644599303134,2.923662828084341
sweat_gland,LUM,2870,0.9623044683320636,0.36829268292682926,1.7293213944913657
t_cell,COL1A1,5761,0.350571280773939,0.19336920673494185,1.5733008653949683
t_cell,PDGFRA,5761,0.014172506112695204,0.012324249262280854,0.05288792554285977
t_cell,KRT14,5761,0.4370513158654578,0.24231904183301511,1.0714684882597378
t_cell,KRT10,5761,0.6166066128796367,0.3730255164034022,1.0293304877609115
t_cell,LYZ,5761,0.025388013026578345,0.01701093560145808,0.15264331072080403
t_cell,CD3D,5761,1.333291058773999,0.6474570387085575,1.8087493445989498
t_cell,MS4A1,5761,0.026009480782964323,0.017184516576983163,0.05616070820332871
t_cell,PECAM1,5761,0.039016835108758315,0.025863565353237285,0.09102095357041932
t_cell,CCL21,5761,0.021966054817995934,0.015969449748307586,0.0477232422583233
t_cell,RGS5,5761,0.038134428360647246,0.022739107793785802,0.21905150044371685
t_cell,TPSAB1,5761,0.010844409300613832,0.006596077069953133,0.019557134459830906
t_cell,PMEL,5761,0.0011432140604920576,0.0010414858531504947,0.0029580648152315613
t_cell,DCD,5761,0.13262827339369368,0.07411907654921021,0.2968537517501507
t_cell,TIMP1,5761,0.7546905221813668,0.4310015622287797,1.810285337086324
t_cell,CHI3L1,5761,0.028426467409392565,0.018226002430133656,0.2651684299807111
t_cell,FN1,5761,0.12714522681929732,0.07325117167158479,0.8505780791307551
t_cell,DCN,5761,0.1894569681896257,0.10553723311925013,0.9860754723469847
t_cell,LUM,5761,0.1295110559177327,0.07238326679395939,0.7894834732584852
