gsm,celltype,gene,cells,mean_log1p_cp10k,detected_fraction,pseudobulk_log1p_cp10k
GSM5050568,myeloid,TIMP1,36,1.240679259947868,0.7222222222222222,1.6609228251212609
GSM5050568,myeloid,CHI3L1,36,0.0,0.0,0.0
GSM5050568,myeloid,FN1,36,0.03392177649653786,0.027777777777777776,0.02748905921608892
GSM5050568,myeloid,DCN,36,0.304300252222133,0.25,0.3091853127354408
GSM5050568,myeloid,LUM,36,0.03588247335619835,0.027777777777777776,0.02748905921608892
GSM5050568,pericyte_smc,COL1A1,309,1.6795731352334284,0.8576051779935275,2.0304670023767195
GSM5050568,pericyte_smc,PDGFRA,309,0.009647924976470202,0.012944983818770227,0.0417290991785424
GSM5050568,pericyte_smc,KRT14,309,0.2034912741296822,0.16181229773462782,1.0575086661388853
GSM5050568,pericyte_smc,KRT10,309,0.6881799957943707,0.5922330097087378,0.909426209792461
GSM5050568,pericyte_smc,LYZ,309,0.004783117032867352,0.003236245954692557,0.01690116567105836
GSM5050568,pericyte_smc,CD3D,309,0.0,0.0,0.0
GSM5050568,pericyte_smc,MS4A1,309,0.0,0.0,0.0
GSM5050568,pericyte_smc,PECAM1,309,0.012195082520112392,0.016181229773462782,0.025245823079121595
GSM5050568,pericyte_smc,CCL21,309,0.025889457405495045,0.032362459546925564,0.04580781246996889
GSM5050568,pericyte_smc,RGS5,309,1.5862588019201243,0.6019417475728155,2.7082036493301813
GSM5050568,pericyte_smc,TPSAB1,309,0.0019014171015200305,0.003236245954692557,0.004252146402577441
GSM5050568,pericyte_smc,PMEL,309,0.011414958819973443,0.009708737864077669,0.012702578371804727
GSM5050568,pericyte_smc,DCD,309,0.5197430170937505,0.4174757281553398,0.7497327369582328
GSM5050568,pericyte_smc,TIMP1,309,1.0584373970112013,0.7605177993527508,1.3787802316923676
GSM5050568,pericyte_smc,CHI3L1,309,0.0016339700732806212,0.003236245954692557,0.004252146402577441
GSM5050568,pericyte_smc,FN1,309,0.7238090730884424,0.5275080906148867,1.1439432071447173
GSM5050568,pericyte_smc,DCN,309,0.624108982898925,0.3365695792880259,1.7771809071670115
GSM5050568,pericyte_smc,LUM,309,0.41590744503309657,0.2815533980582524,0.8511239068917689
GSM5050568,sweat_gland,COL1A1,118,0.6800802321174302,0.3389830508474576,1.0310535869174853
GSM5050568,sweat_gland,PDGFRA,118,0.05415655170650223,0.03389830508474576,0.13700921770460603
GSM5050568,sweat_gland,KRT14,118,1.5598170019389568,0.4576271186440678,3.0619238706071594
GSM5050568,sweat_gland,KRT10,118,0.6906614359740387,0.4915254237288136,1.0197685983220701
GSM5050568,sweat_gland,LYZ,118,0.0,0.0,0.0
GSM5050568,sweat_gland,CD3D,118,0.0,0.0,0.0
GSM5050568,sweat_gland,MS4A1,118,0.0,0.0,0.0
GSM5050568,sweat_gland,PECAM1,118,0.12027712000808032,0.0423728813559322,0.3203321688100349
